title,make,model,year,condition,transmission,price
Mercedes-Benz E43 AMG 3.0 AWD 2017 White,Mercedes-Benz,E43 AMG,2017,foreign used,automatic,"₦ 65,000,000"
New Mercedes-Benz CL 2025 White,New,Mercedes-Benz CL,2025,new,automatic,"₦ 310,000,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2013 Black,Toyota,Camry XLE,2013,foreign used,automatic,"₦ 14,400,000"
Hyundai Sonata SE 2020 Gray,Hyundai,Sonata SE,2020,foreign used,automatic,"₦ 40,000,000"
Mercedes-Benz C300 2023 Gray,Mercedes-Benz,C300,2023,foreign used,automatic,"₦ 100,000,000"
Mercedes-Benz E400 2018 White,Mercedes-Benz,E400,2018,foreign used,automatic,"₦ 52,000,000"
Land Rover Discovery S 2022 Black,Land,Rover Discovery,2022,local used,automatic,"₦ 38,000,000"
Lexus LX 570 2009 Black,Lexus,LX 570,2009,local used,automatic,"₦ 26,500,000"
Lexus GX 460 Luxury 2015 Black,Lexus,GX 460,2015,foreign used,automatic,"₦ 56,000,000"
Lexus IS 2009 White,Lexus,IS,2009,local used,automatic,"₦ 11,500,000"
Lexus ES 350 FWD 2019 Gray,Lexus,ES 350,2019,foreign used,automatic,"₦ 56,500,000"
Mercedes-Benz GLA-Class 2022 Gray,Mercedes-Benz,GLA-Class,2022,foreign used,automatic,"₦ 82,000,000"
Hyundai Santa Fe 2015 Silver,Hyundai,Santa Fe,2015,foreign used,automatic,"₦ 24,000,000"
BMW X6 xDrive40i 2023 Black,BMW,X6 xDrive40i,2023,foreign used,automatic,"₦ 185,000,000"
New Hyundai Elantra 2025 White,New,Hyundai Elantra,2025,new,automatic,"₦ 62,000,000"
Toyota Avalon Limited Sedan FWD (3.5L 6cyl 6A) 2008 Gold,Toyota,Avalon Limited,2008,foreign used,automatic,"₦ 5,800,000"
New Toyota Corolla SE CVT 2024 White,New,Toyota Corolla,2024,new,automatic,"₦ 50,500,000"
BMW X6 xDrive50i 4dr SUV AWD (4.4L 8cyl Turbo 8A) 2015 White,BMW,X6 xDrive50i,2015,foreign used,automatic,"₦ 65,000,000"
Mercedes-Benz GLE-Class GLE 450 4MATIC 2020 White,Mercedes-Benz,GLE-Class GLE,2020,foreign used,automatic,"₦ 120,000,000"
Kia Optima EX 2018 Gray,Kia,Optima EX,2018,foreign used,automatic,"₦ 21,000,000"
New Toyota Land Cruiser 2024 Black,New,Toyota Land,2024,new,automatic,"₦ 175,000,000"
